Step,Value
1162,12
1164,9
1165,7
1166,20
1167,20
1177,18
1180,22
1181,8
1182,12
1183,9
1185,19
1186,10
1187,9
1188,15
1189,9
1191,8
1192,10
1193,7
1194,15
1195,14
1196,25
1197,9
1198,17
1199,23
1200,10
1201,29
1203,7
1204,8
1206,11
1207,11
1208,11
1210,10
1211,8
1212,13
1213,10
1214,12
1215,14
1219,10
1221,8
1224,12
1225,14
1227,12
1228,10
1229,10
1231,20
1232,11
1233,9
1234,8
1235,11
1236,10
1237,33
1238,8
1239,11
1242,17
1243,11
1244,14
1246,8
1247,15
1248,15
1249,20
1250,13
1253,16
1254,16
1255,19
1256,14
1257,12
1258,8
1259,11
1261,8
1262,9
1263,13
1264,8
1265,8
1266,10
1267,22
1268,11
1271,9
1272,21
1274,9
1278,8
1279,14
1281,9
1282,13
1285,10
1287,22
1288,22
1289,11
1291,16
1292,8
1293,10
1294,12
1296,12
1297,9
1298,8
1299,8
1300,16
1302,10
1303,8
1304,10
1306,17
1307,11
1310,12
1312,8
1313,17
1315,7
1316,9
1317,22
1318,8
1319,9
1320,11
1321,21
1324,9
1325,14
1326,22
1327,8
1328,8
1329,8
1330,10
1332,17
1333,8
1334,11
1335,11
1336,11
1337,10
1340,14
1342,9
1343,13
1344,9
1345,9
1346,8
1347,16
1348,10
1349,11
1350,9
1351,9
1354,24
1355,11
1358,8
1359,10
1361,7
1362,10
1363,9
1365,9
1366,13
1367,8
1369,8
1370,11
1371,18
1373,13
1374,13
1375,13
1377,18
1378,19
1379,7
1381,8
1382,13
1384,22
1385,8
1386,16
1387,21
1388,11
1389,16
1391,8
1392,7
1395,12
1397,8
1400,16
1404,9
1409,11
1412,8
1413,22
1414,13
1415,10
1416,9
1417,39
1419,16
1420,10
1422,12
1423,11
1425,9
1426,9
1427,7
1428,10
1430,11
1431,10
1432,8
1433,11
1434,12
1435,9
1436,8
1437,19
1438,10
1440,10
1442,8
1443,10
1445,17
1448,11
1450,19
1454,8
1455,10
1456,24
1457,15
1460,19
1461,8
1462,8
1465,9
1466,18
1468,10
1469,16
1470,25
1473,16
1474,10
1477,8
1478,20
1479,15
1480,10
1481,16
1482,10
1483,21
1485,11
1486,9
1487,10
1488,8
1489,10
1490,10
1491,21
1492,10
1493,12
1497,13
1499,15
