Step,Value
1327,10
1328,41
1330,10
1332,10
1333,10
1334,9
1335,8
1336,8
1337,15
1340,7
1343,10
1345,19
1347,9
1348,9
1349,10
1350,15
1351,20
1355,11
1359,8
1361,12
1362,10
1363,7
1365,8
1366,15
1367,9
1370,13
1373,14
1374,10
1375,22
1377,7
1378,15
1379,19
1381,14
1382,26
1384,8
1385,8
1386,10
1387,13
1388,9
1389,17
1391,9
1392,8
1395,15
1400,13
1404,10
1412,12
1413,9
1414,10
1415,10
1416,29
1419,9
1420,9
1422,9
1423,24
1425,14
1426,8
1427,9
1428,22
1430,20
1432,16
1433,21
1434,13
1436,10
1437,10
1438,11
1440,21
1442,10
1448,16
1450,8
1454,16
1455,13
1456,7
1460,12
1465,7
1466,14
1470,8
1473,13
1474,14
1477,12
1478,12
1480,11
1481,10
1482,19
1483,11
1485,11
1486,20
1489,8
1490,8
1491,8
1492,9
1493,10
1497,9
1500,16
1501,11
1502,10
1503,14
1505,9
1506,11
1507,8
1508,10
1509,8
1510,9
1511,13
1512,20
1513,10
1516,22
1518,16
1523,19
1524,9
1525,9
1527,9
1531,16
1534,12
1536,31
1540,14
1541,11
1542,10
1543,24
1546,10
1548,11
1549,8
1550,25
1551,8
1552,13
1554,23
1555,24
1558,11
1559,10
1561,10
1562,10
1563,26
1568,9
1569,9
1570,9
1578,14
1579,8
1580,9
1582,19
1583,12
1584,9
1585,7
1586,19
1587,8
1588,13
1590,9
1592,8
1593,20
1594,10
1596,8
1597,8
1599,8
1601,11
1602,10
1604,11
1605,8
1609,8
1610,8
1611,8
1612,11
1613,11
1614,9
1615,22
1617,10
1618,11
1619,10
1620,27
1624,19
1626,20
1627,10
1628,15
1630,13
1632,9
1633,12
1634,13
1636,39
1637,9
1638,10
1640,14
1641,7
1642,11
1643,19
1644,7
1645,8
1646,8
1647,14
1648,13
1651,30
1652,20
1654,9
1655,10
1658,11
1659,9
1660,22
1661,24
1662,10
1664,8
1668,14
1670,7
1671,12
1672,13
1673,10
1675,14
1676,13
1678,13
1679,10
1680,17
1682,20
1683,9
1684,14
1685,9
1687,30
1689,14
1691,12
1692,8
1694,11
1695,12
1696,11
1697,8
1699,10
1702,13
1703,16
1704,13
1705,10
1706,13
1708,7
1709,8
1710,8
1711,9
1712,11
1713,9
1714,21
1715,16
1717,10
1718,9
1719,18
1723,9
1726,9
1727,15
1728,10
1730,9
1731,14
1732,9
1733,7
1734,9
1735,15
1737,16
1738,10
1739,10
1741,20
