Step,Value
798,12
799,7
800,11
801,17
802,10
803,7
804,10
805,13
806,14
807,9
808,7
809,8
810,16
811,12
812,8
813,7
814,10
815,9
816,9
817,20
818,13
819,14
820,11
821,9
822,14
823,9
824,9
825,19
826,9
827,8
828,11
829,8
830,7
831,23
832,16
833,8
834,18
835,8
836,18
837,33
838,17
839,12
840,8
841,10
842,10
843,23
844,7
845,13
846,9
847,13
848,11
849,20
850,14
851,15
852,10
853,13
854,11
855,9
856,14
857,8
858,9
859,8
860,12
861,12
862,8
863,11
864,11
865,13
866,12
867,8
868,7
869,9
870,11
871,9
872,11
873,10
874,11
875,8
876,14
877,8
878,7
879,8
880,9
881,9
882,19
883,12
884,14
885,11
886,13
887,11
888,9
889,8
890,9
891,9
892,7
893,27
894,16
895,9
896,7
897,8
898,8
899,9
900,16
901,13
902,21
903,8
904,8
905,9
906,9
907,16
908,8
909,9
910,13
911,15
912,10
913,10
914,9
915,10
916,18
917,8
918,12
919,7
920,13
921,8
922,7
923,8
924,10
925,10
926,7
927,8
928,11
929,12
930,8
931,9
932,8
933,22
934,15
935,10
936,13
937,8
938,8
939,14
940,27
941,14
942,10
943,7
944,7
945,12
946,18
947,9
948,10
949,9
950,14
951,8
952,8
953,12
954,8
955,30
956,9
957,20
958,9
959,28
960,7
961,21
962,22
963,10
964,7
965,9
966,12
967,8
968,11
969,11
970,10
971,9
972,19
973,22
974,9
975,7
976,8
977,15
978,8
979,15
980,15
981,13
982,26
983,8
984,7
985,9
986,8
987,12
988,13
989,8
990,9
991,18
992,10
993,18
994,8
995,8
996,7
997,7
998,9
999,8
